City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,broken hill,-31.95,141.4333,54.34,55,0,6.67,AU,1684189390
256,hasaki,35.7333,140.8333,61.29,78,6,18.39,JP,1684189390
257,dire,12.2833,-10.9667,85.84,54,60,12.24,ML,1684189390
258,sitka,57.0531,-135.33,60.69,51,0,16.11,US,1684189391
259,mount pearl,47.5166,-52.7813,46.85,64,20,23.02,CA,1684189376
260,sao miguel do araguaia,-13.275,-50.1628,79.5,51,3,3.71,BR,1684189391
261,kiunga,-6.1219,141.2906,72.88,99,100,2.33,PG,1684189391
262,kolonia,50.9333,6.95,54.95,79,100,17.27,DE,1684189391
263,katsuren-haebaru,26.3369,127.8719,73.42,79,40,6.91,JP,1684189392
264,ulanhot,46.0833,122.0833,50.7,17,76,6.96,CN,1684189392
265,bulungu,-4.55,18.6,71.82,97,100,2.57,CD,1684189392
266,lagonegro,40.1283,15.7615,54.82,98,100,0.58,IT,1684189392
267,mahishadal,22.1833,87.9833,83.59,88,23,15.12,IN,1684189393
268,pasuquin,18.3328,120.6177,80.55,89,40,6.91,PH,1684189393
269,la ronge,55.1001,-105.2842,75.45,23,100,9.22,CA,1684189393
270,kholmsk,47.0511,142.0569,50.77,93,100,9.06,RU,1684189393
271,happy valley-goose bay,53.3168,-60.3315,43.11,81,100,10.36,CA,1684189394
272,susuman,62.7833,148.1667,38.08,64,96,6.62,RU,1684189394
273,sinabang,2.4803,96.3801,80.51,84,98,5.35,ID,1684189395
274,cabo san lucas,22.8909,-109.9124,86.61,50,20,11.5,MX,1684189319
275,luderitz,-26.6481,15.1594,62.33,47,0,3.8,NA,1684189395
276,soligalich,59.0778,42.2864,49.69,65,98,2.3,RU,1684189395
277,urangan,-25.3,152.9,68.25,89,8,10.4,AU,1684189396
278,barabinsk,55.3571,78.357,45.07,49,99,6.71,RU,1684189396
279,borogontsy,62.6683,131.1683,44.85,83,100,11.68,RU,1684189397
280,bim son,20.0781,105.8603,74.73,97,85,3.2,VN,1684189397
281,aripuana,-9.1667,-60.6333,80.2,71,95,0.74,BR,1684189397
282,shakawe,-18.3667,21.85,67.59,33,88,5.1,BW,1684189398
283,namdrik,5.5994,168.1028,81.79,79,98,13.96,MH,1684189398
284,sainte-suzanne,-20.9061,55.6089,75.42,90,0,6.91,RE,1684189398
285,saint-philippe,-21.3585,55.7679,74.79,80,23,4.59,RE,1684189399
286,zouerate,22.7187,-12.4521,89.04,14,57,7.65,MR,1684189399
287,hwange,-18.3693,26.5019,66.49,50,100,0.29,ZW,1684189399
288,zaragoza,41.6561,-0.8773,59.02,67,20,25.32,ES,1684189164
289,las higueras,-33.0923,-64.289,75.06,41,0,18.41,AR,1684189400
290,geraldton,-28.7667,114.6,52.21,71,3,12.66,AU,1684189400
291,bailen,38.0964,-3.7779,63.72,32,79,6.04,ES,1684189400
292,necochea,-38.5473,-58.7368,60.76,65,36,10.11,AR,1684189400
293,soure,-0.7167,-48.5233,81.3,84,46,12.3,BR,1684189401
294,kingston,17.997,-76.7936,86.23,74,20,17.27,JM,1684189401
295,yokadouma,3.5167,15.05,71.62,99,100,2.19,CM,1684189401
